"subj","item","condition","sentence","rt","Verb","Experiment","Attractor","Grammaticality","Accuracy"
"29",40,1,"The teacher with the certificate frequently is",1332.37481117,"Auxiliary","Experiment 1","Singular","Grammatical",1
"29",4,1,"The picture on the postcard frequently was",915.091991425,"Auxiliary","Experiment 1","Singular","Grammatical",1
"29",36,1,"The courier with the message usually is",1149.17492867,"Auxiliary","Experiment 1","Singular","Grammatical",1
"29",49,2,"The lane for the buses apparently has",998.275995255,"Auxiliary","Experiment 1","Plural","Grammatical",1
"29",5,2,"The problem with the schools unfortunately was",697.067022324,"Auxiliary","Experiment 1","Plural","Grammatical",1
"29",21,2,"The record from the singers frequently is",2083.18400383,"Auxiliary","Experiment 1","Plural","Grammatical",0
"29",34,3,"The input from the consultant always are",2382.03692436,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"29",27,4,"The worker at the factories never are",714.277029037,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"29",46,3,"The assistant to the politician sometimes have",1147.54199982,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"29",24,1,"The service by the preacher potentially is",916.218996048,"Auxiliary","Experiment 1","Singular","Grammatical",1
"29",19,4,"The argument about the bills never were",947.134971619,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"29",31,4,"The soldier by the tanks impatiently are",1430.52697182,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"29",22,3,"The manager of the archive probably are",1465.93284607,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"29",6,3,"The car near the garage frequently were",1181.12707138,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"29",3,4,"The wall with the advertisements often were",1932.88087845,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"29",55,4,"The advertisement for the clubs always have",915.278196335,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"29",16,1,"The student with the backpack probably were",1031.61406517,"Auxiliary","Experiment 1","Singular","Grammatical",0
"29",52,1,"The claim by the judge needlessly has",1615.67902565,"Auxiliary","Experiment 1","Singular","Grammatical",1
"29",18,3,"The paint on the fence often were",2265.40589333,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"29",1,2,"The slogan on the posters really was",765.788078308,"Auxiliary","Experiment 1","Plural","Grammatical",1
"29",60,1,"The museum with the sculpture always has",680.936098099,"Auxiliary","Experiment 1","Singular","Grammatical",1
"29",12,1,"The check from the stockbroker always was",1248.80814552,"Auxiliary","Experiment 1","Singular","Grammatical",1
"29",30,3,"The memo for the executive suddenly are",2415.28081894,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"29",48,1,"The story about the goat always has",1598.06799889,"Auxiliary","Experiment 1","Singular","Grammatical",1
"29",39,4,"The composer of the operas never are",1132.3299408,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"29",38,3,"The picture of the politician apparently are",830.291032791,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"29",59,4,"The friend of the nurses frequently have",1515.04898071,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"29",29,2,"The principal of the schools rarely is",898.681879044,"Auxiliary","Experiment 1","Plural","Grammatical",1
"29",44,1,"The demonstrator at the rally repeatedly has",1098.09708595,"Auxiliary","Experiment 1","Singular","Grammatical",1
"29",25,2,"The leader of the riots frequently is",1965.03210068,"Auxiliary","Experiment 1","Plural","Grammatical",1
"29",54,3,"The envelope for the application always have",863.844156265,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"29",47,4,"The dream about the castles frequently have",815.556049347,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"29",9,2,"The memo from the accountants usually was",1581.84313774,"Auxiliary","Experiment 1","Plural","Grammatical",1
"29",26,3,"The light in the hallway unexpectedly are",914.774894714,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"29",33,2,"The actor in the films sometimes is",730.902910233,"Auxiliary","Experiment 1","Plural","Grammatical",1
"29",43,4,"The office with the computers still have",764.919996262,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"29",28,1,"The advisor of the student carefully is",1248.49414825,"Auxiliary","Experiment 1","Singular","Grammatical",0
"29",20,1,"The map with the creek always was",914.711952209,"Auxiliary","Experiment 1","Singular","Grammatical",1
"29",15,4,"The apartment with the leaks allegedly were",964.619159698,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"29",37,2,"The star of the musicals always is",631.525039673,"Auxiliary","Experiment 1","Plural","Grammatical",1
"29",56,1,"The helicopter of the executive never has",965.250968933,"Auxiliary","Experiment 1","Singular","Grammatical",1
"29",23,4,"The pamphlet from the agencies foolishly are",1414.12806511,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"29",35,4,"The assistant in the labs rarely are",815.03200531,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"29",17,2,"The paycheck for the maids always was",730.894088745,"Auxiliary","Experiment 1","Plural","Grammatical",1
"30",37,3,"The star of the musical always are",1197.75605202,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"30",4,2,"The picture on the postcards frequently was",1432.284832,"Auxiliary","Experiment 1","Plural","Grammatical",0
"30",2,4,"The label on the bottles usually were",1498.78883362,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"30",14,4,"The entrance to the laboratories unexpectedly were",863.927125931,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"30",8,2,"The neighborhood with the museums always was",1966.40515327,"Auxiliary","Experiment 1","Plural","Grammatical",1
"30",58,4,"The bill from the accountants always have",1949.7859478,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"30",9,3,"The memo from the accountant usually were",1332.04293251,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"30",6,4,"The car near the garages frequently were",1583.14919472,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"30",12,2,"The check from the stockbrokers always was",2148.83112907,"Auxiliary","Experiment 1","Plural","Grammatical",1
"30",46,4,"The assistant to the politicians sometimes have ",1781.65578842,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"30",60,2,"The museum with the sculptures always has",1415.07697105,"Auxiliary","Experiment 1","Plural","Grammatical",1
"30",19,1,"The argument about the bill never was",1065.05203247,"Auxiliary","Experiment 1","Singular","Grammatical",1
"30",21,3,"The record from the singer frequently are",1131.70003891,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"30",7,1,"The typo in the book always was",698.596954346,"Auxiliary","Experiment 1","Singular","Grammatical",1
"30",22,4,"The manager of the archives probably are",1766.47496223,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"30",11,1,"The warning from the expert never was",1165.66085815,"Auxiliary","Experiment 1","Singular","Grammatical",1
"30",27,1,"The worker at the factory never is",1164.35909271,"Auxiliary","Experiment 1","Singular","Grammatical",1
"30",28,2,"The advisor of the students carefully is",1263.95392418,"Auxiliary","Experiment 1","Plural","Grammatical",1
"30",41,3,"The editor of the book hardly have",1682.54208565,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"30",47,1,"The dream about the castle frequently has",2032.39011765,"Auxiliary","Experiment 1","Singular","Grammatical",1
"30",49,3,"The lane for the bus apparently have",1564.80789185,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"30",50,4,"The announcement about the games never have",2349.30491447,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"30",26,4,"The light in the hallways unexpectedly are",1732.45596886,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"30",24,2,"The service by the preachers potentially is",1732.98501968,"Auxiliary","Experiment 1","Plural","Grammatical",0
"30",29,3,"The principal of the school rarely are",1414.72291946,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"30",55,1,"The advertisement for the club always has",1883.44597816,"Auxiliary","Experiment 1","Singular","Grammatical",1
"30",48,2,"The story about the goats always has",997.70617485,"Auxiliary","Experiment 1","Plural","Grammatical",1
"30",23,1,"The pamphlet from the agency foolishly is",2316.08319283,"Auxiliary","Experiment 1","Singular","Grammatical",0
"30",3,1,"The wall with the advertisement often was",1064.53800201,"Auxiliary","Experiment 1","Singular","Grammatical",1
"30",39,1,"The composer of the opera never is",1098.66309166,"Auxiliary","Experiment 1","Singular","Grammatical",1
"30",10,4,"The letter from the lawyers supposedly were",799.194097519,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"30",42,4,"The applicant for the awards supposedly have",1316.05696678,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"30",16,2,"The student with the backpacks probably was",1064.76616859,"Auxiliary","Experiment 1","Plural","Grammatical",0
"30",57,3,"The contract for the actor rarely have",1347.76496887,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"30",53,3,"The paper from the student clearly have",1715.76189995,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"30",59,1,"The friend of the nurse frequently has",1448.0638504,"Auxiliary","Experiment 1","Singular","Grammatical",1
"30",30,4,"The memo for the executives suddenly are",1281.50391579,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"30",34,4,"The input from the consultants always are",1214.15805817,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"30",52,2,"The claim by the judges needlessly has",1164.5359993,"Auxiliary","Experiment 1","Plural","Grammatical",0
"30",5,3,"The problem with the school unfortunately were",948.14491272,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"30",1,3,"The slogan on the poster really were",713.586091995,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"30",18,4,"The paint on the fences often were",746.828079224,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"30",43,1,"The office with the computer still has",730.987071991,"Auxiliary","Experiment 1","Singular","Grammatical",1
"30",17,3,"The paycheck for the maid always were",1415.34280777,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"30",38,4,"The picture of the politicians apparently are",1298.08807373,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"30",20,2,"The map with the creeks always was",1232.17988014,"Auxiliary","Experiment 1","Plural","Grammatical",1
"30",13,3,"The door to the office unfortunately were",1030.37214279,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"30",40,2,"The teacher with the certificates frequently is",1048.75588417,"Auxiliary","Experiment 1","Plural","Grammatical",0
"30",44,2,"The demonstrator at the rallies repeatedly has",1680.72795868,"Auxiliary","Experiment 1","Plural","Grammatical",1
"30",35,1,"The assistant in the lab rarely is",698.192119598,"Auxiliary","Experiment 1","Singular","Grammatical",1
"30",51,1,"The proposal about the park supposedly has",614.232063293,"Auxiliary","Experiment 1","Singular","Grammatical",1
"30",45,3,"The volunteer in the village frequently have",1280.9150219,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"30",31,1,"The soldier by the tank impatiently is",1498.43597412,"Auxiliary","Experiment 1","Singular","Grammatical",0
"30",56,2,"The helicopter of the executives never has",814.522981644,"Auxiliary","Experiment 1","Plural","Grammatical",1
"30",25,3,"The leader of the riot frequently are",1231.52709007,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"30",33,3,"The actor in the film sometimes are",1215.14701843,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"30",15,1,"The apartment with the leak allegedly was",730.139970779,"Auxiliary","Experiment 1","Singular","Grammatical",1
"30",32,2,"The office of the accountants apparently is",1048.10094833,"Auxiliary","Experiment 1","Plural","Grammatical",1
"30",54,4,"The envelope for the applications always have",915.460109711,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"30",36,2,"The courier with the messages usually is",997.979879379,"Auxiliary","Experiment 1","Plural","Grammatical",1
"31",8,3,"The neighborhood with the museum always were",780.520915985,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"31",7,2,"The typo in the books always was",780.84397316,"Auxiliary","Experiment 1","Plural","Grammatical",1
"31",56,3,"The helicopter of the executive never have",498.809099197,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"31",2,1,"The label on the bottle usualy was",816.121101379,"Auxiliary","Experiment 1","Singular","Grammatical",1
"31",50,1,"The announcement about the game never has",597.892045975,"Auxiliary","Experiment 1","Singular","Grammatical",1
"31",46,1,"The assistant to the politician sometimes has ",848.594903946,"Auxiliary","Experiment 1","Singular","Grammatical",1
"31",26,1,"The light in the hallway unexpectedly is",748.180150986,"Auxiliary","Experiment 1","Singular","Grammatical",1
"31",31,2,"The soldier by the tanks impatiently is",983.206987381,"Auxiliary","Experiment 1","Plural","Grammatical",1
"31",33,4,"The actor in the films sometimes are",898.138999939,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"31",29,4,"The principal of the schools rarely are",1265.51914215,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"31",39,2,"The composer of the operas never is",948.497056961,"Auxiliary","Experiment 1","Plural","Grammatical",1
"31",1,4,"The slogan on the posters really were",1315.61613083,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"31",36,3,"The courier with the message usually are",1048.56705666,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"31",22,1,"The manager of the archive probably is",664.76392746,"Auxiliary","Experiment 1","Singular","Grammatical",1
"31",5,4,"The problem with the schools unfortunately were",780.694007874,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"31",17,4,"The paycheck for the maids always were",615.383863449,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"31",15,2,"The apartment with the leaks allegedly was",681.447982788,"Auxiliary","Experiment 1","Plural","Grammatical",1
"31",21,4,"The record from the singers frequently are",597.874879837,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"31",51,2,"The proposal about the parks supposedly has",1215.05498886,"Auxiliary","Experiment 1","Plural","Grammatical",0
"31",11,2,"The warning from the experts never was",748.208999634,"Auxiliary","Experiment 1","Plural","Grammatical",1
"31",25,4,"The leader of the riots frequently are",697.853088379,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"31",10,1,"The letter from the lawyer supposedly was",547.731876373,"Auxiliary","Experiment 1","Singular","Grammatical",1
"31",44,3,"The demonstrator at the rally repeatedly have",631.467103958,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"31",48,3,"The story about the goat always have",731.220006943,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"31",54,1,"The envelope for the application always has",981.536865234,"Auxiliary","Experiment 1","Singular","Grammatical",1
"31",6,1,"The car near the garage frequently was",731.164932251,"Auxiliary","Experiment 1","Singular","Grammatical",1
"31",13,4,"The door to the offices unfortunately were",1565.30809402,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"31",23,2,"The pamphlet from the agencies foolishly is",564.347982407,"Auxiliary","Experiment 1","Plural","Grammatical",0
"31",53,4,"The paper from the students clearly have",647.056102753,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"31",58,1,"The bill from the accountant always has",1349.31492805,"Auxiliary","Experiment 1","Singular","Grammatical",0
"31",28,3,"The advisor of the student carefully are",1064.31889534,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"31",14,1,"The entrance to the laboratory unexpectedly was",697.345018387,"Auxiliary","Experiment 1","Singular","Grammatical",1
"31",37,4,"The star of the musicals always are",1114.77303505,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"31",45,4,"The volunteer in the villages frequently have",1015.06185532,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"31",24,3,"The service by the preacher potentially are",697.924137115,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"31",52,3,"The claim by the judge needlessly have",630.941867828,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"31",3,2,"The wall with the advertisements often was",681.954860687,"Auxiliary","Experiment 1","Plural","Grammatical",1
"31",55,2,"The advertisement for the clubs always has",664.477109909,"Auxiliary","Experiment 1","Plural","Grammatical",1
"31",41,4,"The editor of the books hardly have",748.602151871,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"31",49,4,"The lane for the buses apparently have",1465.75903893,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"31",42,1,"The applicant for the award supposedly has",814.152002335,"Auxiliary","Experiment 1","Singular","Grammatical",1
"31",9,4,"The memo from the accountants usually were",497.152090073,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
"31",43,2,"The office with the computers still has",480.916023254,"Auxiliary","Experiment 1","Plural","Grammatical",1
"31",20,3,"The map with the creek always were",698.224067688,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"31",60,3,"The museum with the sculpture always have",714.617013931,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"31",19,2,"The argument about the bills never was",531.275033951,"Auxiliary","Experiment 1","Plural","Grammatical",1
"31",12,3,"The check from the stockbroker always were",814.882993698,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"31",18,1,"The paint on the fence often was",914.758205414,"Auxiliary","Experiment 1","Singular","Grammatical",1
"31",47,2,"The dream about the castles frequently has",814.95308876,"Auxiliary","Experiment 1","Plural","Grammatical",1
"31",40,3,"The teacher with the certificate frequently are",731.112003326,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"31",27,2,"The worker at the factories never is",615.19408226,"Auxiliary","Experiment 1","Plural","Grammatical",1
"31",34,1,"The input from the consultant always is",531.474113464,"Auxiliary","Experiment 1","Singular","Grammatical",1
"31",4,3,"The picture on the postcard frequently were",613.713026047,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"31",38,1,"The picture of the politician apparently is",548.280954361,"Auxiliary","Experiment 1","Singular","Grammatical",0
"31",59,2,"The friend of the nurses frequently has",580.712080002,"Auxiliary","Experiment 1","Plural","Grammatical",1
"31",32,3,"The office of the accountant apparently are",665.577888489,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"31",16,3,"The student with the backpack probably were",731.18185997,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"31",30,1,"The memo for the executive suddenly is",681.631088257,"Auxiliary","Experiment 1","Singular","Grammatical",1
"31",57,4,"The contract for the actors rarely have",1216.05587006,"Auxiliary","Experiment 1","Plural","Ungrammatical",1
"31",35,2,"The assistant in the labs rarely is",497.265100479,"Auxiliary","Experiment 1","Plural","Grammatical",1
"32",23,3,"The pamphlet from the agency foolishly are",764.01591301,"Auxiliary","Experiment 1","Singular","Ungrammatical",1
"32",58,2,"The bill from the accountants always has",815.08398056,"Auxiliary","Experiment 1","Plural","Grammatical",1
"32",31,3,"The soldier by the tank impatiently are",998.321056366,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"32",13,1,"The door to the office unfortunately was",1065.19293785,"Auxiliary","Experiment 1","Singular","Grammatical",1
"32",33,1,"The actor in the film sometimes is",780.736923218,"Auxiliary","Experiment 1","Singular","Grammatical",1
"32",41,1,"The editor of the book hardly has",864.443063736,"Auxiliary","Experiment 1","Singular","Grammatical",1
"32",42,2,"The applicant for the awards supposedly has",832.012891769,"Auxiliary","Experiment 1","Plural","Grammatical",1
"32",37,1,"The star of the musical always is",964.922904968,"Auxiliary","Experiment 1","Singular","Grammatical",1
"32",9,1,"The memo from the accountant usually was",698.190927505,"Auxiliary","Experiment 1","Singular","Grammatical",1
"32",15,3,"The apartment with the leak allegedly was",1898.85997772,"Auxiliary","Experiment 1","Singular","Ungrammatical",0
"32",10,2,"The letter from the lawyers supposedly was",849.075078964,"Auxiliary","Experiment 1","Plural","Grammatical",0
"32",54,2,"The envelope for the applications always has",1182.08909035,"Auxiliary","Experiment 1","Plural","Grammatical",1
"32",17,1,"The paycheck for the maid always was",781.742095947,"Auxiliary","Experiment 1","Singular","Grammatical",0
"32",24,4,"The service by the preachers potentially are",1264.49298859,"Auxiliary","Experiment 1","Plural","Ungrammatical",0
