"","V1","V2","Attractor","Grammaticality","Experiment"
"78",-4.23,1.56622373391e-09,"Match","Grammatical","Experiment 1"
"79",-4.22,1.64118873217e-09,"Match","Grammatical","Experiment 1"
"80",-4.21,1.7197456445e-09,"Match","Grammatical","Experiment 1"
"81",-4.2,1.80207518279e-09,"Match","Grammatical","Experiment 1"
"82",-4.19,1.88832588237e-09,"Match","Grammatical","Experiment 1"
"83",-4.18,1.97872190145e-09,"Match","Grammatical","Experiment 1"
"84",-4.17,2.07344014688e-09,"Match","Grammatical","Experiment 1"
"85",-4.16,2.17267981206e-09,"Match","Grammatical","Experiment 1"
"86",-4.15,2.27669494794e-09,"Match","Grammatical","Experiment 1"
"87",-4.14,2.38566717389e-09,"Match","Grammatical","Experiment 1"
"88",-4.13,2.49985696629e-09,"Match","Grammatical","Experiment 1"
"89",-4.12,2.61953439614e-09,"Match","Grammatical","Experiment 1"
"90",-4.11,2.74491075615e-09,"Match","Grammatical","Experiment 1"
"91",-4.1,2.87630892781e-09,"Match","Grammatical","Experiment 1"
"92",-4.09,3.01399688284e-09,"Match","Grammatical","Experiment 1"
"93",-4.08,3.15825288394e-09,"Match","Grammatical","Experiment 1"
"94",-4.07,3.30945013247e-09,"Match","Grammatical","Experiment 1"
"95",-4.06,3.46785702851e-09,"Match","Grammatical","Experiment 1"
"96",-4.05,3.63384295662e-09,"Match","Grammatical","Experiment 1"
"97",-4.04,3.80781002984e-09,"Match","Grammatical","Experiment 1"
"98",-4.03,3.99006093899e-09,"Match","Grammatical","Experiment 1"
"99",-4.02,4.18105882881e-09,"Match","Grammatical","Experiment 1"
"100",-4.01,4.38121007048e-09,"Match","Grammatical","Experiment 1"
"101",-4,4.5909028831e-09,"Match","Grammatical","Experiment 1"
"102",-3.99,4.81068355734e-09,"Match","Grammatical","Experiment 1"
"103",-3.98,5.04095141015e-09,"Match","Grammatical","Experiment 1"
"104",-3.97,5.28222865139e-09,"Match","Grammatical","Experiment 1"
"105",-3.96,5.5351119201e-09,"Match","Grammatical","Experiment 1"
"106",-3.95,5.800038026e-09,"Match","Grammatical","Experiment 1"
"107",-3.94,6.07766963293e-09,"Match","Grammatical","Experiment 1"
"108",-3.93,6.36861998187e-09,"Match","Grammatical","Experiment 1"
"109",-3.92,6.67343351735e-09,"Match","Grammatical","Experiment 1"
"110",-3.91,6.99290594923e-09,"Match","Grammatical","Experiment 1"
"111",-3.9,7.32763506806e-09,"Match","Grammatical","Experiment 1"
"112",-3.89,7.67835668548e-09,"Match","Grammatical","Experiment 1"
